kof97.zip|KOF 97|拳皇97
aracnis.zip|Aracnis(bootlegofScorpiononMoonCrestahardware)|魔蝎(魔蝎在月球登陆艇硬件上的A版)
arbalest.zip|Arbalester|劲弩战机
arcadian.zip|Arcadia(NMK)|阿卡迪亚战机(NMK)
area88.zip|Area88(Japan)|战区88(日版)
area88r.zip|Area88(JapanResalever.)|战区88(日版重发售版)
arian.zip|ArianMission|阿里任务
arkarea.zip|ArkArea|宇宙飞艇
armedf.zip|ArmedFormation|武装编队
armedff.zip|ArmedFormation(Fillmorelicense)|武装编队(Fillmore授权)
armorcar.zip|ArmoredCar(set1)|装甲车(第1套)
armorcar2.zip|ArmoredCar(set2)|装甲车(第2套)
armwrest.zip|ArmWrestling|扳手腕
ashnojoe.zip|AshitanoJoe(Japan)|明日之丈(日版)
ashura.zip|AshuraBlaster(World)|阿修罗风暴(世界版)
ashuraj.zip|AshuraBlaster(Japan)|阿修罗风暴(日版)
ashurau.zip|AshuraBlaster(US)|阿修罗风暴(美版)
asideral.zip|AtaqueSideral(SpanishbootlegofUniWarS)|恒星攻击(宇宙战争西班牙A版)
assault.zip|Assault(RevB)|突袭(修正版B)
assaultj.zip|Assault(Japan)|突袭(日版)
assaultp.zip|AssaultPlus(Japan)|突袭加强版(日版)
asterix.zip|Asterix(verEAD)|阿斯泰利克斯历险记(版本EAD)
asterixaad.zip|Asterix(verAAD)|阿斯泰利克斯历险记(版本AAD)
asterixeaa.zip|Asterix(verEAA)|阿斯泰利克斯历险记(版本EAA)
asterixeac.zip|Asterix(verEAC)|阿斯泰利克斯历险记(版本EAC)
asterixj.zip|Asterix(verJAD)|阿斯泰利克斯历险记(版本JAD)
astrians.zip|Astrians(cloneofSwarm)|阿斯特瑞斯(蜂群克隆版)
astrofl.zip|AstroFlash(Japan)|阿斯特罗闪电(日版)
astyanax.zip|TheAstyanax|阿斯堤阿那克斯
asuka.zip|Asuka&Asuka(World)|飞鸟飞鸟(世界版)
asukaj.zip|Asuka&Asuka(Japan)|飞鸟飞鸟(日版)
atehate.zip|AthenanoHatena?|雅典娜问答
