kof97.zip|KOF 97|拳皇97
bbakraid.zip|BattleBakraid-UnlimitedVersion(U.S.A.)(TueJun8|战斗翔鹰-无限制版本(美版)(TueJun81999)
bbakraidc.zip|BattleBakraid-UnlimitedVersion(China)(TueJun8|战斗翔鹰-无限制版本(中国版)(TueJun81999)
bbakraidj.zip|BattleBakraid-UnlimitedVersion(Japan)(TueJun8|战斗翔鹰-无限制版本(日版)(TueJun81999)
bbakraidja.zip|BattleBakraid(Japan)(WedApr71999)|战斗翔鹰(日版)(WedApr71999)
bballs.zip|BouncingBalls|益智弹跳球
bballsa.zip|BouncingBalls(Adult)|益智弹跳球(成人版)
bbmanw.zip|BomberManWorld/NewDynaBlaster-GlobalQuest|炸弹人世界
bbmanwj.zip|BomberManWorld(Japan)|炸弹人世界(日版)
bbmanwja.zip|BomberManWorld(Japan-revisedsoundhardware)|炸弹人世界(日版-修改声音硬件)
bbredux.zip|BobbleBobble('bootlegredux'hackforBobbleBobble|摇摇龙(泡泡龙机板回灌A版修改版)
bbros.zip|BusterBros.(USA)|魔鬼气泡(美版)
bchopper.zip|BattleChopper|战刀直升机
bcrusher.zip|BoneCrusher|碎骨者
bcstry.zip|B.C.Story(set1)|原始人梦语(第1套)
bcstrya.zip|B.C.Story(set2)|原始人梦语(第2套)
beastfp.zip|BeastieFeastie|野兽盛宴
berabohm.zip|BerabohMan(Japan-RevC)|超绝伦人(日版-修正版C)
berabohmb.zip|BerabohMan(Japan-RevB)|超绝伦人(日版-修正版B)
berlwall.zip|TheBerlinWall|柏林墙(第1套)
berlwallt.zip|TheBerlinWall(bootleg?)|柏林墙(A版?)
bermudat.zip|BermudaTriangle(World?)|百慕大三角(世界版?)
bermudata.zip|BermudaTriangle(WorldWars)(US)|百慕大三角(世界大战)(美版)
bermudatj.zip|BermudaTriangle(Japan)|百慕大三角(日版)
bestbest.zip|BestOfBest|霸中霸
bestleag.zip|BestLeague(bootlegofBigStriker-ItalianSerieA)|最佳联赛(大前锋A版-意甲联赛)
bestleaw.zip|BestLeague(bootlegofBigStriker-WorldCup)|最佳联赛(大前锋A版-世界杯)
bestri.zip|Bestri(Korea)|打星星(韩版)
bgaregga.zip|BattleGaregga(Europe/USA/Japan/Asia)(SatFeb|空战之路(欧版/美版/日版/亚洲版)(SatFeb31996)
bgareggabl.zip|1945Part2(ChinesehackofBattleGaregga)|1945二代(空战之路中文修改版)
bgareggabla.zip|LeiShenZhuanThunderDeityBiography(Chinesehacko|雷神传(空战之路中文修改版)
bgareggacn.zip|BattleGaregga-Type2(Denmark/China)(TueApr21|空战之路-类型2(丹麦版/中国版)(TueApr21996)
bgareggahk.zip|BattleGaregga(Austria/HongKong)(SatFeb31996)|空战之路(奥地利版/香港版)(SatFeb31996)
bgaregganv.zip|BattleGaregga-NewVersion(Austria/HongKong)(Sa|空战之路-新版本(奥地利版/香港版)(SatMar21996)
bgareggat2.zip|BattleGaregga-Type2(Europe/USA/Japan/Asia)|空战之路-类型2(欧版/美版/日版/亚洲版)(SatMar21996)
bgareggatw.zip|BattleGaregga(Taiwan/Germany)(ThuFeb11996)|空战之路(台湾版/德国版)(ThuFeb11996)
bgareggaz.zip|BattleGareggaZakkversion(Europe/USA/Japan/As|空战之路扎克版(欧版/美版/日版/亚洲版)(SatFeb31996)
bigbang.zip|BigBang(9thNov.1993)|大轰动(9thNov.1993)
bigbucks.zip|BigBucks|大巴克
bigfghtr.zip|Tatakae!BigFighter(Japan)|战斗!巨型战士(日版)
bigkarnk.zip|BigKarnak|古埃及卡纳克传说
bigstrik.zip|BigStriker|强力射手
bigstrkb.zip|BigStriker(bootleg)|大前锋(A版)
bigstrkba.zip|BigStriker(bootlegw/Italianteams)|大前锋(意大利队A版)
bigtwin.zip|BigTwin|大孪生
billiard.zip|TheBilliards|台球
biomtoy.zip|BiomechanicalToy(Ver.1.0.1885)|生化玩具兵(版本1.0.1885)
biomtoya.zip|BiomechanicalToy(Ver.1.0.1884)|生化玩具兵(版本1.0.1884)
biomtoyb.zip|BiomechanicalToy(Ver.1.0.1878)|生化玩具兵(版本1.0.1878)
bionicc.zip|BionicCommando(Euro)|生化尖兵(欧版)
bionicc1.zip|BionicCommando(USset1)|生化尖兵(美版第1套)
bionicc2.zip|BionicCommando(USset2)|生化尖兵(美版第2套)
bioniccbl.zip|BionicCommandos(bootleg-set1)|生化尖兵(A版-第1套)
bioniccbl2.zip|BionicCommandos(bootleg-set2)|生化尖兵(A版-第2套)
bioplayc.zip|BioplaythingCop(Ver.1.0.1823-prototype)|生化玩具警察(版本1.0.1823-工程版)
bioship.zip|Bio-shipPaladin|生化战舰-圣骑士
birdiy.zip|Birdiy|雀鸟育成
birdtry.zip|BirdieTry(Japan)|测试小鸟球(日版)
bjourney.zip|Blue'sJourney/Raguy(ALM-001)(ALH-001)|蓝色之旅/拉吉少年(ALM-001)(ALH-001)
bjourneyh.zip|Blue'sJourney/Raguy(ALH-001)|蓝色之旅/拉吉少年(ALM-001)
bjtwin.zip|BombjackTwin(set1)|炸弹双子(第1套)
bjtwina.zip|BombjackTwin(set2)|炸弹双子(第2套)
blandia.zip|Blandia|快打布兰达
blandiap.zip|Blandia(prototype)|快打布兰达(工程版)
blastoff.zip|BlastOff(Japan)|原爆战机(日版)
blazeon.zip|BlazeOn(Japan)|魂之光辉(日版)
blazer.zip|Blazer(Japan)|坦克先锋(日版)
blazstar.zip|BlazingStar|闪亮之星
blkbustr.zip|BlockBuster|方块破坏者
blkdrgon.zip|BlackDragon(Japan)|暗黑之龙(日版)
blkdrgonb.zip|BlackDragon(bootleg)|暗黑之龙(A版)
blkheart.zip|BlackHeart|暗黑之心
blkheartj.zip|BlackHeart(Japan)|暗黑之心(日版)
blkhole.zip|BlackHole|黑洞
blkpnthr.zip|BlackPanther|黑豹
blktiger.zip|BlackTiger|暗黑之虎
blktigera.zip|BlackTiger(older)|暗黑之虎(较旧版)
blktigerb1.zip|BlackTiger(bootlegset1)|暗黑之虎(A版第1套)
blktigerb2.zip|BlackTiger(bootlegset2)|暗黑之虎(A版第2套)
blktigerb3.zip|BlackTiger/BlackDragon(mixedbootleg?)|暗黑之虎(混合A版?)
blmbycar.zip|BlombyCar|布鲁比拉力赛车
blmbycaru.zip|BlombyCar(notencrypted)|布鲁比拉力赛车(未加密版)
block.zip|BlockBlock(World911219Joystick)|敲砖块(世界版911219操纵杆)
blockbl.zip|BlockBlock(bootleg)|敲砖块(A版)
blockcar.zip|BlockCarnival/Thunder&Lightning2|拦截嘉年华
blockgal.zip|BlockGal(MC-8123B-317-0029)|打砖块美女版(MC-8123B-317-0029)
blockhl.zip|BlockHole|拦截方块
blockj.zip|BlockBlock(Japan910910)|敲砖块(日版910910)
blockout.zip|BlockOut(set1)|立体空间方块(第1套)
blockout2.zip|BlockOut(set2)|立体空间方块(第2套)
blockoutj.zip|BlockOut(Japan)|立体空间方块(日版)
blockr1.zip|BlockBlock(World911106Joystick)|敲砖块(世界版911106操纵杆)
blockr2.zip|BlockBlock(World910910)|敲砖块(世界版910910)
bloodbro.zip|BloodBros.(World?)|血兄弟(世界版?)
bloodbroj.zip|BloodBros.(Japan-revA)|血兄弟(日版-修正版A)
bloodbroja.zip|BloodBros.(Japan)|血兄弟(日版)
bloodbrou.zip|BloodBros.(US)|血兄弟(美版)
bloodwar.zip|BloodWarrior|血忍
blox16b.zip|Bloxeed(System16B-PS2datafile)|俄罗斯方块擂台(系统16B-PS2数据文件)
bloxeed.zip|Bloxeed(Japan-FD1094317-0139)|俄罗斯方块擂台(日版-FD1094317-0139)
bloxeedd.zip|Bloxeed(Japan-FD1094317-0139decrypted)|俄罗斯方块擂台(日版-FD1094317-0139解密版)
blswhstl.zip|Bells&Whistles(World-versionL)|铃铛与口哨(世界版-版本L)
blswhstla.zip|Bells&Whistles(Asia-versionM)|铃铛与口哨(亚洲版-版本M)
bluehawk.zip|BlueHawk|鹰击蓝空
bluehawkn.zip|BlueHawk(NTC)|鹰击蓝空(NTC)
blueprnt.zip|BluePrint(Midway)|蓝色拼图(Midway)
blueprntj.zip|BluePrint(Jaleco)|蓝色拼图(Jaleco)
blzntrnd.zip|BlazingTornado|摔跤旋风
bnj.zip|Bump'n'Jump|金龟跳车
boblbobl.zip|BobbleBobble(bootlegofBubbleBobble)|摇摇龙(泡泡龙A版)
bodyslam.zip|BodySlam(8751317-0015)|女子摔角(8751317-0015)
bogeyman.zip|BogeyManor|鬼屋历险
boggy84.zip|Boggy'84|弹跳王'84
boggy84b.zip|Boggy'84(bootleg)|弹跳王'84(A版)
bomber.zip|Bomber(bootlegofScramble)|轰炸机(紧急起飞的A版)
bombjack.zip|BombJack(set1)|炸弹手杰克(第1套)
bombjack2.zip|BombJack(set2)|炸弹手杰克(第2套)
bombjackt.zip|BombJack(Tecfri-Spain)|炸弹手杰克(Tecfri-西班牙版)
bombkick.zip|BombKick(set1)|炸弹脚力(第1套)
bombkicka.zip|BombKick(set2)|炸弹脚力(第2套)
bombrman.zip|BomberMan(Japan)|炸弹人(日版)
bongo.zip|Bongo|邦戈历险记
bonkadv.zip|B.C.Kid/Bonk'sAdventure/Kyukyoku!!PCGenjin|原人小子/邦克冒险记/究极PC原人
bonzeadv.zip|BonzeAdventure(World-Newer)|地狱小和尚(世界版-较新版)
bonzeadvo.zip|BonzeAdventure(World-Older)|地狱小和尚(世界版-较旧版)
bonzeadvp.zip|BonzeAdventure(World-prototype)|地狱小和尚(世界版-工程版)
bonzeadvu.zip|BonzeAdventure(US)|地狱小和尚(美版)
boobhack.zip|BoobyKids(Italianmanufacturedgraphichack/bootle|诱杀小子(意大利图形修改版/A版小子之恋恋大作战(A版))
bottom9.zip|BottomoftheNinth(ver.T)|世界棒球(版本T)
bottom9n.zip|BottomoftheNinth(ver.N)|世界棒球(版本N)
bouldash.zip|BoulderDash/BoulderDashPart2(World)|推石小子(世界版)
bouldashj.zip|BoulderDash/BoulderDashPart2(Japan)|推石小子(日版)
bounty.zip|TheBounty|邦蒂号
bowlrama.zip|Bowl-O-Rama|保龄球三合一
boxyboy.zip|BoxyBoy(SB?)|推盒小子(SB?)
brain.zip|Brain|太空登陆战
breakers.zip|Breakers|爆烈人-末日英雄
breakrev.zip|BreakersRevenge|爆烈人复仇-末日英雄加强版
breywood.zip|Breywood(Japanrevision2)|链狱谜城(日版修正版2)
brix.zip|Brix|芭莉克斯
brkthru.zip|BreakThru(US)|强行突破(美版)
brkthruj.zip|Kyohkoh-Toppa(Japan)|强行突破(日版)
brubber.zip|Burnin'Rubber|火爆竞速
bssoccer.zip|BackStreetSoccer|街头足球
bstars.zip|BaseballStarsProfessional(NGM-002)|棒球之星专业版(NGM-002)
bstars2.zip|BaseballStars2|棒球之星2
bstarsh.zip|BaseballStarsProfessional(NGH-002)|棒球之星专业版(NGH-002)
btime.zip|BurgerTime(DataEastset1)|汉堡时代(DataEast第1套)
btime2.zip|BurgerTime(DataEastset2)|汉堡时代(DataEast第2套)
btime3.zip|BurgerTime(DataEastUSA)|汉堡时代(DataEast美版)
btimem.zip|BurgerTime(Midway)|汉堡时代(Midway)
btlfield.zip|BattleField(Japan)|战地风云(日版)
btlfieldb.zip|BattleField(bootleg)|战地风云(A版)
btlkroad.zip|BattleK-Road|武道之战
btlkroadk.zip|BattleK-Road(KoreanPCB)|武道之战(韩国机板)
bub68705.zip|BubbleBobble(booltegwith68705-set1)|泡泡龙(含68705A版-第1套)
bub68705a.zip|BubbleBobble(booltegwith68705-set2)|泡泡龙(含68705A版-第2套)
bubl2000.zip|Bubble2000|泡泡野人版2000
bublbob2p.zip|BubbleBobbleII(Ver0.0J1993/12/13-prototype)|泡泡龙II(版本0.0J1993/12/13-工程版)
bublbobl.zip|BubbleBobble(Japan-Ver0.1)|泡泡龙(日版-版本0.1)
bublbobl1.zip|BubbleBobble(Japan-Ver0.0)|泡泡龙(日版-版本0.0)
bublboblr.zip|BubbleBobble(US-Ver5.1)|泡泡龙(美版-版本5.1)
bublboblr1.zip|BubbleBobble(US-Ver1.0)|泡泡龙(美版-版本1.0)
bublboblu.zip|BubbleBobble(UltraVersion-Hack)|泡泡龙(极端版-修改版)
bublcave.zip|BubbleBobble:LostCaveV1.2|泡泡龙-失落的洞穴V1.2
bublcave10.zip|BubbleBobble:LostCaveV1.0|泡泡龙-失落的洞穴V1.0
bublcave11.zip|BubbleBobble:LostCaveV1.1|泡泡龙-失落的洞穴V1.1
bucaner.zip|Buccaneer|吃豆海盗
buccanrs.zip|Buccaneers(set1)|海盗(第1套)
buccanrsa.zip|Buccaneers(set2)|海盗(第2套)
buccanrsb.zip|Buccaneers(set3-harder)|海盗(第3套-较难)
bucky.zip|BuckyO'Hare(verEAB)|外星战将(版本EAB)
buckyaab.zip|BuckyO'Hare(verAAB)|外星战将(版本AAB)
buckyea.zip|BuckyO'Hare(verEA)|外星战将(版本EA)
buckyjaa.zip|BuckyO'Hare(verJAA)|外星战将(版本JAA)
buckyuab.zip|BuckyO'Hare(verUAB)|外星战将(版本UAB)
bullfgt.zip|Bullfight(315-5065)|斗牛(315-5065)
buraiken.zip|HissatsuBuraiken(Japan)|必杀无赖拳(日版)
burglarx.zip|BurglarX|夜盗X
burningf.zip|BurningFight(NGM-018)(NGH-018)|热血快打(NGM-018)(NGH-018)
burningfh.zip|BurningFight(NGH-018)(US)|热血快打(NGH-018)(美版)
burningfp.zip|BurningFight(prototype-older)|热血快打(工程版-较旧版)
burningfpa.zip|BurningFight(prototype-ver23.3-910326)|热血快打(工程版-版本23.3-910326)
buzzard.zip|Buzzard|猎鹰直升机
bwcasino.zip|BoardwalkCasino|浮桥赌场
bwings.zip|B-Wings(JapannewVer.)|B计划(日版新版)
bwingso.zip|B-Wings(JapanoldVer.)|B计划(日版旧版)
bygone.zip|Bygone|往事
cachat.zip|Cachat(Japan)|卡沙方块(日版)
cactus.zip|Cactus(bootlegofSabotenBombers)|仙人掌(仙人掌投弹手的A版)
cadash.zip|Cadash(World)|卡达叙传说(世界版)
cadashf.zip|Cadash(France)|卡达叙传说(法国版)
cadashg.zip|Cadash(Germany-version1)|卡达叙传说(德国版-版本1)
cadashi.zip|Cadash(Italy)|卡达叙传说(意大利版)
cadashj.zip|Cadash(Japan-version2)|卡达叙传说(日版-版本2)
cadashj1.zip|Cadash(Japan-version1)|卡达叙传说(日版-版本1)
cadashjo.zip|Cadash(Japan-oldestversion)|卡达叙传说(日版-最旧版)
cadashp.zip|Cadash(World-prototype)|卡达叙传说(世界版-工程版)
cadashs.zip|Cadash(Spain-version1)|卡达叙传说(西班牙版-版本1)
cadashu.zip|Cadash(US-version2)|卡达叙传说(美版-版本2)
cairblad.zip|ChangeAirBlade(Japan)|变革空刃(日版)
calibr50.zip|Caliber50|五十口径
calipso.zip|Calipso|潜水任务
calorie.zip|CalorieKunvsMoguranian|地底大战
calorieb.zip|CalorieKunvsMoguranian(bootleg)|地底大战(A版)
candance.zip|CannonDancer(Japan)|加农舞者(日版)
candory.zip|Candory(Bootleg)|狸猫坎德尔(A版)
cannball.zip|CannonBall(YunSung-horizontal)|加农球(YunSung-横版)
cannballv.zip|CannonBall(YunSung-vertical)|加农球(YunSung-竖版)
cannonbp.zip|CannonBall(PacmanHardware)|炮弹式发球(吃豆小精灵硬件)
canvas.zip|CanvasCroquis|油画素描
capbowl.zip|CapcomBowling(set1)|卡普空保龄球(第1套)
capbowl2.zip|CapcomBowling(set2)|卡普空保龄球(第2套)
capbowl3.zip|CapcomBowling(set3)|卡普空保龄球(第3套)
capbowl4.zip|CapcomBowling(set4)|卡普空保龄球(第4套)
capitol.zip|Capitol|国会防御战
carnival.zip|Carnival(upright)|狂欢节(直立型)
carnivalc.zip|Carnival(cocktail)|狂欢节(台面型)
cashquiz.zip|CashQuiz(TypeB-Version5)|现金问答(类型B-版本5)
catacomb.zip|Catacomb|地下墓穴
catt.zip|Catt(Japan)|小猫冒险记(日版)
cavelon.zip|Cavelon|骑士之剑
cavenger.zip|CosmicAvenger|宇宙复仇者
cawing.zip|CarrierAirWing(U.S.navy901012etc)|雌虎战机(美国海军901012世界版)
cawingb2.zip|CarrierAirWing(bootlegset2(with2xYM2203+2xMSM|雌虎战机(A版第2套(含2xYM2203+2xMSM5205)-美国海军901012世界版)
cawingbl.zip|CarrierAirWing(bootlegset1(with2xYM2203+2xMSM|雌虎战机(A版第1套(含2xYM2203+2xMSM5205)-美国海军901012世界版)
cawingj.zip|U.S.Navy(901012Japan)|雌虎战机(901012日版)
cawingr1.zip|CarrierAirWing(U.S.navy901009etc)|雌虎战机(美国海军901009世界版)
cawingu.zip|CarrierAirWing(U.S.navy901130USA)|雌虎战机(美国海军901130美版)
cawingur1.zip|CarrierAirWing(U.S.navy901012USA)|雌虎战机(美国海军901012美版)
cbuster.zip|CrudeBuster(WorldFXversion)|暴力克星(世界版FX版)
cbusterj.zip|CrudeBuster(JapanFRrevision1)|暴力克星(日版FR修正版1)
cbusterw.zip|CrudeBuster(WorldFUversion)|暴力克星(世界版FU版)
cclimber.zip|CrazyClimber(USset1)|疯狂攀登者(美版第1套)
cclimbr2.zip|CrazyClimber2(Japan)|疯狂攀登者2(日版)
cclimbr2a.zip|CrazyClimber2(Japan-Harder)|疯狂攀登者2(日版-较难)
centiped.zip|Centipede(revision4)|杀虫大战(修正版4)
centiped3.zip|Centipede(revision3)|杀虫大战(修正版3)
chainrec.zip|ChainReaction(World-Version2.2-1995.09.25)|连锁反应(世界版-版本2.2-1995.09.25)
chaknpop.zip|Chack'nPop|飞天豆
chameleo.zip|Chameleon|变色龙
champwr.zip|ChampionWrestler(World)|冠军摔角手(世界版)
champwrj.zip|ChampionWrestler(Japan)|冠军摔角手(日版)
champwru.zip|ChampionWrestler(US)|冠军摔角手(美版)
chanbara.zip|Chanbara|剑斗
changes.zip|Changes|化蝶
changesa.zip|Changes(EMElicense)|化蝶(EME授权)
charlien.zip|CharlieNinja|糊涂忍者
checkman.zip|CheckMan|检查人
checkmanj.zip|CheckMan(Japan)|检查人(日版)
cheekyms.zip|CheekyMouse|打老鼠
chelnov.zip|Chelnov-AtomicRunner(World)|卡洛夫-原子战士(世界版)
chelnovj.zip|Chelnov-AtomicRunner(Japan)|卡洛夫-原子战士(日版)
chelnovu.zip|Chelnov-AtomicRunner(US)|卡洛夫-原子战士(美版)
chikij.zip|ChikiChikiBoys(900619Japan)|双麒儿(900619日版)
chimerab.zip|ChimeraBeast(prototype)|合成兽(工程版)
chinagat.zip|ChinaGate(US)|中华门(美版)
chinatwn.zip|ChinaTown(Japan)|唐人街(日版)
chkun.zip|ChanceKun(Japan)|幸运君的棒球(日版)
chokchok.zip|Choky!Choky!|魔鬼气泡海中对战
choko.zip|Choko(010820Japan)|长江(010820日版)
chopliftbl.zip|Choplifter(bootleg)|救援直升机(A版)
chopliftu.zip|Choplifter(unprotected)|救援直升机(无保护版)
chopper.zip|ChopperI(USset1)|直升机I(美版第1套)
choppera.zip|ChopperI(USset2)|直升机I(美版第2套)
chopperb.zip|ChopperI(USset3)|直升机I(美版第3套)
chukatai.zip|ChukaTaisen(World)(P0-028-APCB)|中华大仙(世界版)(P0-028-APCB)
chukataij.zip|ChukaTaisen(Japan)(P0-028-APCB)|中华大仙(日版)(P0-028-APCB)
chukataija.zip|ChukaTaisen(Japan)(P0-025-APCB)|中华大仙(日版)(P0-025-APCB)
chukataiu.zip|ChukaTaisen(US)(P0-028-APCB)|中华大仙(美版)(P0-028-APCB)
circusc.zip|CircusCharlie(levelselect-set1)|马戏团(关卡选择版-第1套)
circusc2.zip|CircusCharlie(levelselect-set2)|马戏团(关卡选择版-第2套)
circusc3.zip|CircusCharlie(levelselect-set3)|马戏团(关卡选择版-第2套)
circusc4.zip|CircusCharlie(nolevelselect)|马戏团(无关卡选择)
circuscc.zip|CircusCharlie(Centuri)|马戏团(Centuri)
circusce.zip|CircusCharlie(Centuri-earlier)|马戏团(Centuri-早期版)
citybomb.zip|CityBomber(World)|炸弹赛车(世界版)
citybombj.zip|CityBomber(Japan)|炸弹赛车(日版)
citycon.zip|CityConnection(set1)|碰碰车(第1套)
citycona.zip|CityConnection(set2)|碰碰车(第2套)
ckong.zip|CrazyKong|疯狂大金刚
ckongg.zip|CrazyKong(bootlegonGalaxianhardware)|疯狂大金刚(小蜜蜂硬件A版)
ckongmc.zip|CrazyKong(bootlegonMoonCrestahardware)|疯狂大金刚(月球登陆艇硬件A版)
ckongs.zip|CrazyKong(Scramblehardware)|疯狂大金刚(紧急起飞硬件)
clbowl.zip|CoorsLightBowling|库尔斯轻型保龄球
cloak.zip|Cloak&Dagger(rev5)|斗篷与匕首(修正版5)
cloakfr.zip|Cloak&Dagger(French)|斗篷与匕首(法国版)
cloakgr.zip|Cloak&Dagger(German)|斗篷与匕首(德国版)
cloaksp.zip|Cloak&Dagger(Spanish)|斗篷与匕首(西班牙版)
clshroad.zip|Clash-Road|冲撞自行车
clshroadd.zip|Clash-Road(DataEastlicense)|冲撞自行车(DataEast授权)
clshroads.zip|Clash-Road(Statuslicense)|冲撞自行车(Status授权)
cltchitr.zip|ClutchHitter(set2-US-FD1094317-0176)|致胜击球手(第2套-美版-FD1094317-0176)
cltchitrd.zip|ClutchHitter(set2-US-FD1094317-0176decrypted)|致胜击球手(第2套-美版-FD1094317-0176解密版)
cltchitrj.zip|ClutchHitter(set1-Japan-FD1094317-0175)|致胜击球手(第1套-日版-FD1094317-0175)
cltchitrjd.zip|ClutchHitter(set1-Japan-FD1094317-0175decrypted|致胜击球手(第1套-日版-FD1094317-0175解密版)
cninja.zip|CavemanNinja(Worldver4)|战斗原始人(世界版版本4)
cninja1.zip|CavemanNinja(Worldver1)|战斗原始人(世界版版本1)
cninjabl.zip|CavemanNinja(bootleg)|战斗原始人(A版)
cninjau.zip|CavemanNinja(USver4)|战斗原始人(美版版本4)
cobracom.zip|Cobra-Command(World/USrevision5)|眼睛蛇指令(世界版/美版修正版5)
cobracoma.zip|Cobra-Command(World/USrevision4)|眼睛蛇指令(世界版/美版修正版4)
cobracomb.zip|Cobra-Command(Italianbootleg)|眼睛蛇指令(意大利A版)
cobracomj.zip|Cobra-Command(Japan)|眼睛蛇指令(日版)
cobracomja.zip|Cobra-Command(Japan?-set2)|眼睛蛇指令(日版?-第2套)
cobracomjb.zip|Cobra-Command(Japan-bootleg)|眼睛蛇指令(日版-A版)
combh.zip|CombatHawk|战斗神鹰
commando.zip|Commando(World)|突击队(世界版)
commandob2.zip|Commando(bootleg2)|突击队(A版2)
commandoj.zip|SenjounoOokami|战场之狼
commandou.zip|Commando(US-set1)|突击队(美版-第1套)
commsega.zip|Commando(Sega)|敢死队(Sega)
condor.zip|Condor(SidambootlegofPhoenix)|秃鹰(火凤凰SidamA版)
congo.zip|CongoBongo|刚果邦戈
congoa.zip|CongoBongo(RevC-3boardstack)|刚果邦戈(修正版C-三机板堆栈)
contra.zip|Contra(US/Asia-set1)|魂斗罗(美版/亚洲版-第1套)
contra1.zip|Contra(US/Asia-set2)|魂斗罗(美版/亚洲版-第2套)
contrab.zip|Contra(bootleg)|魂斗罗(A版)
contrabj.zip|Contra(Japanbootleg-set1)|魂斗罗(日版A版-第1套)
contrabj1.zip|Contra(Japanbootleg-set2)|魂斗罗(日版A版-第2套)
contrae.zip|Contra(US/Asia-set3)|魂斗罗(美版/亚洲版-第3套)
contraj.zip|Contra(Japan-set1)|魂斗罗(日版-第1套)
contraj1.zip|Contra(Japan-set2)|魂斗罗(日版-第2套)
cookbib.zip|Cookie&Bibi(set1)|库奇与比比(第1套)
cookbib2.zip|Cookie&Bibi2(set1)|库奇与比比2(第1套)
cookbib2a.zip|Cookie&Bibi2(set2)|库奇与比比2(第2套)
cookbib3.zip|Cookie&Bibi3|库奇与比比3
cookbiba.zip|Cookie&Bibi(set2)|库奇与比比(第2套)
cop01.zip|Cop01(set1)|一号巡警(第1套)
cop01a.zip|Cop01(set2)|一号巡警(第2套)
cotton.zip|Cotton(set3-World-FD1094317-0181a)|棉花小魔女(第3套-世界版-FD1094317-0181a)
cottond.zip|Cotton(set3-World-FD1094317-0181adecrypted)|棉花小魔女(第3套-世界版-FD1094317-0181a解密版)
cottong.zip|CotocotoCottong|轨道拼图
cottonj.zip|Cotton(set2-Japan-RevB-FD1094317-0179b))|棉花小魔女(第2套-日版-修正版B-FD1094317-0179b)
cottonja.zip|Cotton(set1-Japan-RevA-FD1094317-0179a))|棉花小魔女(第1套-日版-修正版A-FD1094317-0179a)
cottonjad.zip|Cotton(set1-Japan-RevA-FD1094317-0179adecrypte|棉花小魔女(第1套-日版-修正版A-FD1094317-0179a解密版)
cottonjd.zip|Cotton(set2-Japan-RevB-FD1094317-0179bdecrypte|棉花小魔女(第2套-日版-修正版B-FD1094317-0179b解密版)
